id,genus,spp,tree_number,stem_number,dbh,health,alive,standing,old_plot_col,zone,plot,oldtag,dhas.1,dhas.2,notes,new_genus,new_species
Pin.tae.150.1,Pin,tae,150,1,309,4,1,1,L0,L,0,,,,,,
Jun.vir.151.1,Jun,vir,151,1,151,4,1,1,L0,L,0,,,,,,
Pin.tae.152.1,Pin,tae,152,1,,0,0,1,L0,L,0,,,,,,
Pin.tae.153.1,Pin,tae,153,1,,,,,L0,L,0,,1260,,,,
Nys.syl.154.1,Nys,syl,154,1,,,,,L0,L,0,,standing,,,,
Pin.tae.155.1,Pin,tae,155,1,100,0,0,1,L0,L,0,,1,,,,
Jun.vir.156.1,Jun,vir,156,1,125,9,1,1,L0,L,0,,,,,,
Pin.tae.157.1,Pin,tae,157,1,,,,,L0,L,0,,0,,,,
Jun.vir.158.1,Jun,vir,158,1,210,8,1,1,L0,L,0,,,,,,
Jun.vir.159.1,Jun,vir,159,1,102,7,1,1,L0,L,0,,,,,,
Pin.tae.160.1,Pin,tae,160,1,295,0,0,1,L0,L,0,,,,,,
Jun.vir.161.1,Jun,vir,161,1,149,7,1,1,L0,L,0,,,,,,
Pin.tae.162.1,Pin,tae,162,1,74,5,1,1,L0,L,0,,,,,,
Pin.tae.163.1,Pin,tae,163,1,430,0,0,1,L0,L,0,,,,,,
Jun.vir.164.1,Jun,vir,164,1,124,4,1,1,L0,L,0,,,,,,
Jun.vir.165.1,Jun,vir,165,1,78,5,1,1,L0,L,0,,,,,,
Jun.vir.166.1,Jun,vir,166,1,162,8,1,1,L0,L,0,,,,,,
Jun.vir.167.1,Jun,vir,167,1,110,5,1,1,L0,L,0,,,,,,
Pin.tae.168.1,Pin,tae,168,1,325,0,0,0,L0,L,0,,,,,,
Jun.vir.169.1,Jun,vir,169,1,104,5,1,1,L0,L,0,,,,,,
Nys.syl.170.1,Nys,syl,170,1,75,0,1,1,L0,L,0,,,,,,
Pin.tae.171.1,Pin,tae,171,1,,,,,L0,L,0,,,,,,
Nys.syl.172.1,Nys,syl,172,1,145,0,0,1,L0,L,0,,,,,,
Jun.vir.173.1,Jun,vir,173,1,,,,,L0,L,0,,,,,,
Nys.syl.174.1,Nys,syl,174,1,90,0,0,1,L0,L,0,,,,,,
Pin.tae.175.1,Pin,tae,175,1,266,0,0,1,L0,L,0,,,,,,
Jun.vir.176.1,Jun,vir,176,1,135,4,1,1,L0,L,0,,,,,,
Pin.tae.177.1,Pin,tae,177,1,,,,,L0,L,0,,,,,,
Jun.vir.178.1,Jun,vir,178,1,78,9,1,1,L0,L,0,,,,,,
Pin.tae.179.1,Pin,tae,179,1,361,4,1,1,L0,L,0,,,,,,
Jun.vir.180.1,Jun,vir,180,1,190,5,1,1,L0,L,0,,,,,,
Jun.vir.181.1,Jun,vir,181,1,64,5,1,1,L0,L,0,,,,,,
Jun.vir.182.1,Jun,vir,182,1,178,6,1,1,L0,L,0,,,,,,
Jun.vir.183.1,Jun,vir,183,1,173,5,1,1,L0,L,0,,,,,,
Jun.vir.184.1,Jun,vir,184,1,109,0,1,1,L0,L,0,,,,,,
Jun.vir.185.1,Jun,vir,185,1,95,6,1,1,L0,L,0,,,,,,
Jun.vir.186.1,Jun,vir,186,1,80,0,0,1,L0,L,0,,,,,,
Pin.tae.187.1,Pin,tae,187,1,364,4,1,1,L0,L,0,,,,,,
Jun.vir.188.1,Jun,vir,188,1,107,5,1,1,L0,L,0,,,,,,
Jun.vir.189.1,Jun,vir,189,1,384,6,1,1,L0,L,0,,,,,,
Jun.vir.190.1,Jun,vir,190,1,154,7,1,1,L0,L,0,,,,,,
Jun.vir.191.1,Jun,vir,191,1,68,1,1,1,L0,L,0,,,,,,
Jun.vir.192.1,Jun,vir,192,1,,,,,L0,L,0,,,,,,
