survey_id,date,id,tree_code,site,zone,plot,genus,spp,tree_number,trunk_number,dbh_mm,health,alive,standing,old_tag,notes
May_2024,5/21/2024,Pin.tae.150.1,L0_150_Pin,BRNV,L,0,Pin,tae,150,1,313,3,1,1,,
May_2024,5/21/2024,Jun.vir.151.1,L0_151_Jun,BRNV,L,0,Jun,vir,151,1,153,5,1,1,,
May_2024,5/21/2024,Pin.tae.152.1,L0_152_Pin,BRNV,L,0,Pin,tae,152,1,,,,,,
May_2024,5/21/2024,Pin.tae.153.1,L0_153_Pin,BRNV,L,0,Pin,tae,153,1,,,,,,
May_2024,5/21/2024,Nys.syl.154.1,L0_154_Nys,BRNV,L,0,Nys,syl,154,1,,,,,,
May_2024,5/21/2024,Pin.tae.155.1,L0_155_Pin,BRNV,L,0,Pin,tae,155,1,100,0,0,1,,
May_2024,5/21/2024,Jun .vir.156.1,L0_156_Jun ,BRNV,L,0,Jun ,vir,156,1,126,8,1,1,,
May_2024,5/21/2024,Pin.tae.157.1,L0_157_Pin,BRNV,L,0,Pin,tae,157,1,,,,,,
May_2024,5/21/2024,Jun.vir.158.1,L0_158_Jun,BRNV,L,0,Jun,vir,158,1,,,,,,
May_2024,5/21/2024,Jun.vir.159.1,L0_159_Jun,BRNV,L,0,Jun,vir,159,1,101,6,1,1,,
May_2024,5/21/2024,Pin.tae.160.1,L0_160_Pin,BRNV,L,0,Pin,tae,160,1,299,0,0,0,,
May_2024,5/21/2024,Jun.vir.161.1,L0_161_Jun,BRNV,L,0,Jun,vir,161,1,154,5,1,1,,
May_2024,5/21/2024,Jun.vir.162.1,L0_162_Jun,BRNV,L,0,Jun,vir,162,1,77,4,1,1,,
May_2024,5/21/2024,Pin.tae.163.1,L0_163_Pin,BRNV,L,0,Pin,tae,163,1,441,0,0,1,,
May_2024,5/21/2024,Jun.vir.164.1,L0_164_Jun,BRNV,L,0,Jun,vir,164,1,123,6,1,1,,
May_2024,5/21/2024,Jun.vir.165.1,L0_165_Jun,BRNV,L,0,Jun,vir,165,1,77,4,1,1,,
May_2024,5/21/2024,Jun.vir.166.1,L0_166_Jun,BRNV,L,0,Jun,vir,166,1,168,8,1,1,,
May_2024,5/21/2024,Jun.vir.167.1,L0_167_Jun,BRNV,L,0,Jun,vir,167,1,115,5,1,1,,
May_2024,5/21/2024,Pin.tae.168.1,L0_168_Pin,BRNV,L,0,Pin,tae,168,1,,,,,,lost tag
May_2024,5/21/2024,Jun.vir.169.1,L0_169_Jun,BRNV,L,0,Jun,vir,169,1,106,6,1,1,,
May_2024,5/21/2024,Nys.syl.170.1,L0_170_Nys,BRNV,L,0,Nys,syl,170,1,75,0,0,1,,
May_2024,5/21/2024,Pin.tae.171.1,L0_171_Pin,BRNV,L,0,Pin,tae,171,1,,,,,,
May_2024,5/21/2024,Nys.syl.172.1,L0_172_Nys,BRNV,L,0,Nys,syl,172,1,149,0,0,1,,
May_2024,5/21/2024,Jun.vir.173.1,L0_173_Jun,BRNV,L,0,Jun,vir,173,1,,,,,,
May_2024,5/21/2024,Nys.syl.174.1,L0_174_Nys,BRNV,L,0,Nys,syl,174,1,103,0,0,1,,
May_2024,5/21/2024,Pin.tae.175.1,L0_175_Pin,BRNV,L,0,Pin,tae,175,1,286,0,0,1,,
May_2024,5/21/2024,Jun.vir.176.1,L0_176_Jun,BRNV,L,0,Jun,vir,176,1,138,6,1,1,,
May_2024,5/21/2024,Pin.tae.177.1,L0_177_Pin,BRNV,L,0,Pin,tae,177,1,,,,,,
May_2024,5/21/2024,Jun.vir.178.1,L0_178_Jun,BRNV,L,0,Jun,vir,178,1,79,8,1,1,,
May_2024,5/21/2024,Pin.tae.179.1,L0_179_Pin,BRNV,L,0,Pin,tae,179,1,371,3,1,1,,
May_2024,5/21/2024,Jun.vir.180.1,L0_180_Jun,BRNV,L,0,Jun,vir,180,1,193,6,1,1,,
May_2024,5/21/2024,Jun.vir.181.1,L0_181_Jun,BRNV,L,0,Jun,vir,181,1,64,0,0,1,,
May_2024,5/21/2024,Jun.vir.182.1,L0_182_Jun,BRNV,L,0,Jun,vir,182,1,178,7,1,1,,
May_2024,5/21/2024,Jun.vir.183.1,L0_183_Jun,BRNV,L,0,Jun,vir,183,1,177,5,1,1,,
May_2024,5/21/2024,Jun.vir.184.1,L0_184_Jun,BRNV,L,0,Jun,vir,184,1,111,5,1,1,,
May_2024,5/21/2024,Jun.vir.185.1,L0_185_Jun,BRNV,L,0,Jun,vir,185,1,98,6,1,1,,
