survey_id,date,site,zone,plot,tree_number,tree_code,trunk_number,genus,spp,dbh_mm,health,alive,old_tag,standing,notes
April_2025,4/29/2025,BRNV,L,L0,150,L0_150_Pin,1,Pin,tae,,,FALSE,,,couldn't find
April_2025,4/29/2025,BRNV,L,L0,151,L0_151_Jun,1,Jun,vir,,,FALSE,,,couldn't find
April_2025,4/29/2025,BRNV,L,L0,152,L0_152_Pin,1,Pin,tae,,,FALSE,,,
April_2025,4/29/2025,BRNV,L,L0,154,L0_154_Nys,1,Nys,syl,,,FALSE,,,
April_2025,4/29/2025,BRNV,L,L0,155,L0_155_Pin,1,Pin,tae,104,0,FALSE,,1,cool fungus
April_2025,4/29/2025,BRNV,L,L0,156,L0_156_Jun,1,Jun,vir,128,5,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,158,L0_158_Jun,1,Jun,vir,212,5,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,159,L0_159_Jun,1,Jun,vir,100,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,160,L0_160_Pin,1,Pin,tae,291,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,161,L0_161_Jun,1,Jun,vir,150,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,162,L0_162_Jun,1,Jun,vir,74,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,163,L0_163_Pin,1,Pin,tae,360,0,FALSE,,1,Tag fel
April_2025,4/29/2025,BRNV,L,L0,164,L0_164_Jun,1,Jun,vir,122,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,165,L0_165_Jun,1,Jun,vir,78,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,166,L0_166_Jun,1,Jun,vir,162,4,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,167,L0_167_Jun,1,Jun,vir,106,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,168,L0_168_Pin,1,Pin,tae,309,0,FALSE,,1,"Mostly fallen, still above dbh"
April_2025,4/29/2025,BRNV,L,L0,169,L0_169_Jun,1,Jun,vir,102,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,170,L0_170_Nys,1,Nys,syl,73,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,171,L0_171_Pin,1,Pin,tae,,,FALSE,,,
April_2025,4/29/2025,BRNV,L,L0,172,L0_172_Nys,1,Nys,syl,144,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,173,L0_173_Jun,1,Jun,vir,,,FALSE,,,
April_2025,4/29/2025,BRNV,L,L0,174,L0_174_Nys,1,Nys,syl,92,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,175,L0_175_Pin,1,Pin,tae,258,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,176,L0_176_Jun,1,Jun,vir,136,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,178,L0_178_Jun,1,Jun,vir,76,5,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,179,L0_179_Pin,1,Pin,tae,357,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,180,L0_180_Jun,1,Jun,vir,188,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,181,L0_181_Jun,1,Jun,vir,65,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,182,L0_182_Jun,1,Jun,vir,175,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,183,L0_183_Jun,1,Jun,vir,172,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,184,L0_184_Jun,1,Jun,vir,109,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,185,L0_185_Jun,1,Jun,vir,95,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,186,L0_186_Jun,1,Jun,vir,78,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,187,L0_187_Pin,1,Pin,tae,364,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,188,L0_188_Jun,1,Jun,vir,106,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,188,L0_188_Jun,2,Jun,vir,98,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,189,L0_189_Jun,1,Jun,vir,382,2,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,190,L0_190_Jun,1,Jun,vir,143,4,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,191,L0_191_Jun,1,Jun,vir,68,1,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,192,L0_192_Jun,1,Jun,vir,42,1,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,193,L0_193_Jun,1,Jun,vir,100,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,194,L0_194_Jun,1,Jun,vir,53,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,475,L0_475_Jun,1,Jun,vir,140,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,476,L0_476_Jun,1,Jun,vir,122,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,477,L0_477_Nys,1,Nys,syl,100,0,FALSE,,1,P.I.
April_2025,4/29/2025,BRNV,L,L0,478,L0_478_Jun,1,Jun,vir,120,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,512,L0_512_Uni,1,Uni,spp,,,FALSE,,,couldn't find
April_2025,4/29/2025,BRNV,L,L0,905,L0_905_Pin,1,Pin,tae,200,0,FALSE,,1,partially fallen
April_2025,4/29/2025,BRNV,L,L0,921,L0_921_Pin,1,Pin,tae,,,FALSE,,,
April_2025,4/29/2025,BRNV,L,L0,922,L0_922_Pin,1,Pin,tae,NA,0,FALSE,,0,fallen
April_2025,4/29/2025,BRNV,L,L0,970,L0_970_Jun,1,Jun,vir,NA,0,FALSE,,1,P.I.
April_2025,4/29/2025,BRNV,L,L0,971,L0_971_Jun,1,Jun,vir,,,FALSE,,,couldn't find
April_2025,4/29/2025,BRNV,L,L0,989,L0_989_Pin,1,Pin,tae,196,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,5064,L0_5064_Uni,1,Uni,spp,90,0,FALSE,,1,
April_2025,4/29/2025,BRNV,L,L0,916,L0_916_Jun,1,Jun,vir,92,3,TRUE,,1,
April_2025,4/29/2025,BRNV,L,L0,5152,L0_5152_Mor,1,Mor,cer,54,3,TRUE,,1,
