plot,sample,year,month,date,ppt
H0,C,2019,7,7/24/19,0.32
H0,C,2019,10,10/29/19,7.77
H0,C,2020,10,10/28/20,1.79
H0,B,2019,7,7/24/19,0.86
H0,B,2019,10,10/29/19,5.34
H0,B,2020,10,10/28/20,1.34
H0,A,2019,7,7/24/19,0.61
H0,A,2019,10,10/29/19,7.47
H0,A,2021,8,8/8/21,0.72
H0,A,2021,8,8/8/21,0.61
H0,A,2021,8,8/8/21,0.5
H0,A,2020,10,10/28/20,1.61
H1,D,2021,8,8/8/21,1.72
H1,C,2019,7,7/24/19,1.39
H1,C,2019,10,10/29/19,10.7
H1,C,2021,8,8/8/21,3.48
H1,C,2020,10,10/28/20,2.26
H1,B,2019,7,7/24/19,1.74
H1,B,2019,10,10/29/19,11.9
H1,B,2021,8,8/8/21,1.24
H1,B,2020,10,10/28/20,1.95
H1,A,2019,7,7/24/19,0.84
H1,A,2019,10,10/29/19,10.5
H1,A,2021,8,8/8/21,1.76
H1,A,2020,10,10/28/20,2.69
H2,C,2019,7,7/24/19,2.3
H2,C,2019,10,10/29/19,13.5
H2,C,2021,8,8/8/21,0.44
H2,C,2020,10,10/28/20,3.69
H2,B,2019,7,7/24/19,0.61
H2,B,2019,10,10/29/19,11
H2,B,2021,8,8/8/21,1.34
H2,B,2020,10,10/28/20,4.28
H2,A,2019,7,7/24/19,2.52
H2,A,2019,10,10/29/19,11.3
H2,A,2021,8,8/8/21,1.22
H2,A,2020,10,10/28/20,2.45
H3,C,2019,7,7/24/19,2.4
H3,C,2019,10,10/29/19,10.4
H3,C,2021,8,8/8/21,0.55
H3,C,2020,10,10/28/20,2.21
H3,B,2019,7,7/24/19,1.2
H3,B,2019,10,10/29/19,11.3
H3,B,2021,8,8/8/21,2.22
H3,B,2020,10,10/28/20,2.47
H3,A,2019,7,7/24/19,1.26
H3,A,2019,10,10/29/19,11.7
H3,A,2021,8,8/8/21,1.81
H3,A,2020,10,10/28/20,2.28
H4,C,2019,7,7/24/19,0.56
H4,C,2019,10,10/29/19,6.5
H4,C,2021,8,8/8/21,0.3
H4,C,2020,10,10/28/20,1.42
H4,B,2019,7,7/24/19,0.59
H4,B,2019,10,10/29/19,8.53
H4,B,2021,8,8/8/21,0.24
H4,B,2020,10,10/28/20,0.91
H4,A,2019,7,7/24/19,0.53
H4,A,2019,10,10/29/19,7.12
H4,A,2021,8,8/8/21,0.52
H4,A,2020,10,10/28/20,0.48
H5,C,2019,7,7/24/19,1.91
H5,C,2019,10,10/29/19,10.8
H5,C,2021,8,8/8/21,0.83
H5,C,2020,10,10/28/20,3.22
H5,B,2019,7,7/24/19,1.04
H5,B,2019,10,10/29/19,5.55
H5,B,2021,8,8/8/21,1.01
H5,B,2020,10,10/28/20,2.93
H5,A,2019,7,7/24/19,1.79
H5,A,2019,10,10/29/19,11.7
H5,A,2021,8,8/8/21,1.59
H5,A,2020,10,10/28/20,2.21
H6,C,2019,7,7/24/19,1.24
H6,C,2019,10,10/29/19,13.7
H6,C,2021,8,8/8/21,2.4
H6,C,2020,10,10/28/20,2.83
H6,B,2019,7,7/24/19,1.27
H6,B,2019,10,10/29/19,11.1
H6,B,2021,8,8/8/21,3.47
H6,B,2020,10,10/28/20,2.38
H6,A,2019,7,7/24/19,1.71
H6,A,2019,10,10/29/19,10.9
