date,zone,plot,replicate,wet_weight_g,dry_weight_g,percentage_moisture,EC_uS/cm,EC_ms/cm,carbon,nitrogen,notes
6/11/22,H,H0,A,10.3,3.96,61.55,766,0.766,22.49,0.7169,
6/11/22,H,H0,B,8.7,3.02,65.29,264.3,0.2643,31.36,0.8352,
6/11/22,H,H0,C,10.8,3.15,70.83,1212,1.212,35.17,0.9825,
6/11/22,H,H1,A,18.5,7.25,60.81,1740,1.74,17.35,0.7141,
6/11/22,H,H1,B,20.9,8.1,61.24,754,0.754,15.35,0.5573,
6/11/22,H,H1,C,20.7,6.83,67,1469,1.469,10.42,0.4515,
6/11/22,H,H2,A,8.2,1.71,79.15,5176,5.176,33.25,0.9251,
6/11/22,H,H2,B,10.7,2.22,79.25,1994,1.994,33.53,1.277,
6/11/22,H,H2,C,13.3,3.61,72.86,3270,3.27,24.9,0.9857,
6/11/22,H,H3,A,9.7,2.44,74.85,2640,2.64,32.83,1.001,
6/11/22,H,H3,B,12.2,3.37,72.38,1262,1.262,40.9,1.25,
6/11/22,H,H3,C,11.1,3.93,64.59,2218,2.218,20.05,0.6662,
6/11/22,H,H4,B,11.4,3.53,69.04,366,0.366,18.42,0.5817,
6/11/22,H,H4,C,8.8,5.95,32.39,5650,5.65,30.1,1.395,
6/11/22,H,H4,C,10.2,2.31,77.35,5650,5.65,30.1,1.395,
6/11/22,H,H5,C,9,2.16,76,NA,NA,42.73,1.157,unable to run  EC
6/11/22,H,H5,A,9.8,2.01,79.49,1346,1.346,43.27,1.457,
6/11/22,H,H5,B,13.9,3.2,76.98,80.3,0.0803,44.32,1.165,
6/11/22,H,H6,A,21.8,11.5,47.25,1027,1.027,10.59,0.3518,
6/11/22,H,H6,B,11.3,3.08,72.74,5070,5.07,36.663,1.306,
6/11/22,H,H6,C,13.5,3.97,70.59,2923,2.923,29.24,1.052,
6/11/22,H,H7,A,17.5,5.97,65.89,1456,1.456,18.5,0.6573,
6/11/22,H,H7,B,9.5,2.35,75.26,3030,3.03,42.85,1.419,
6/11/22,H,H7,C,11.4,2.16,81.05,1160,1.16,48.78,1.522,
6/11/22,L,L0,A,13.5,3.72,72.44,NA,NA,41.04,1.073,unable to run  EC
6/11/22,L,L0,B,18.8,4.73,74.84,3290,3.29,26.23,0.9069,
6/11/22,L,L1,A,23.8,6.82,71.34,4110,4.11,22.43,0.7622,
6/11/22,L,L1,B,18.5,3.02,83.68,5182,5.182,37.9,1.545,
6/11/22,L,L1,C,12.2,4.61,62.21,580,0.58,36.08,1.286,
6/11/22,L,L2,A,21.5,5.54,74.23,5170,5.17,22.44,0.8835,
6/11/22,L,L2,B,13.6,2.06,84.85,5126,5.126,40.39,1.54,
6/11/22,L,L2,C,20,3.05,84.75,5864,5.864,35.16,1.374,
6/11/22,L,L3,A,20.8,4.08,80.38,5544,5.544,34.32,1.366,
6/11/22,L,L3,B,31.6,5.13,83.77,3460,3.46,27.81,0.9424,
6/11/22,L,L3,C,23.6,6.72,71.53,3340,3.34,21.11,0.8757,
6/11/22,L,L4,A,11.1,2,81.98,2260,2.26,37.48,1.242,
6/11/22,L,L4,B,27,4.26,84.22,6420,6.42,34.82,1.488,
6/11/22,L,L4,C,23.6,4.16,82.37,2264,2.264,36.36,1.672,
6/11/22,L,L5,A,13.6,2.63,80.66,3400,3.4,43.66,1.38,
6/11/22,L,L5,B,11.5,2.59,77.48,3260,3.26,38.75,1.04,
6/11/22,L,L5,C,10,2.26,77.4,1156,1.156,39.28,1.007,
6/11/22,L,L6,A,14.1,3.31,76.52,1061,1.061,45.53,1.304,
6/11/22,L,L6,B,31.6,6.79,78.51,9270,9.27,25.56,1.003,
6/11/22,L,L6,C,16,2.88,82,5934,5.934,43.51,1.26,
6/11/22,L,L7,B,8.9,2.24,74.83,2212,2.212,46.16,0.724,
6/11/22,L,L7,B,8.9,2.24,74.83,1268,1.268,46.16,0.724,
6/11/22,L,L7,C,10.4,2.19,78.94,4664,4.664,43.36,1.068,
6/11/22,M,M0,A,16.7,5.54,66.83,1640,1.64,23.44,0.7105,
