survey_id,date,site,zone,plot,tree_number,tree_code,trunk_number,genus,spp,dbh_mm,health,alive,standing,old_tag,notes
October_2024,2024-10-02,BRNV,L,L0,150,L0_150_Pin,1,Pinus,taeda,309.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,151,L0_151_Jun,1,Juniperus,virginiana,151.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,152,L0_152_Pin,1,Pinus,taeda,,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,153,L0_153_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L0,154,L0_154_Nys,1,Nyssa,sylvatica,,,,,,
October_2024,2024-10-02,BRNV,L,L0,155,L0_155_Pin,1,Pinus,taeda,100.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,156,L0_156_Jun,1,Juniperus,virginiana,125.0,9.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,157,L0_157_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L0,158,L0_158_Jun,1,Juniperus,virginiana,210.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,159,L0_159_Jun,1,Juniperus,virginiana,102.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,160,L0_160_Pin,1,Pinus,taeda,295.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,161,L0_161_Jun,1,Juniperus,virginiana,149.0,7.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,162,L0_162_Pin,1,Pinus,taeda,74.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,163,L0_163_Pin,1,Pinus,taeda,430.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,164,L0_164_Jun,1,Juniperus,virginiana,124.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,165,L0_165_Jun,1,Juniperus,virginiana,78.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,166,L0_166_Jun,1,Juniperus,virginiana,162.0,8.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,167,L0_167_Jun,1,Juniperus,virginiana,110.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,168,L0_168_Pin,1,Pinus,taeda,325.0,0.0,False,False,,
October_2024,2024-10-02,BRNV,L,L0,169,L0_169_Jun,1,Juniperus,virginiana,104.0,5.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,170,L0_170_Nys,1,Nyssa,sylvatica,75.0,0.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,171,L0_171_Pin,1,Pinus,taeda,,,,,,
October_2024,2024-10-02,BRNV,L,L0,172,L0_172_Nys,1,Nyssa,sylvatica,145.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,173,L0_173_Jun,1,Juniperus,virginiana,,,,,,
October_2024,2024-10-02,BRNV,L,L0,174,L0_174_Nys,1,Nyssa,sylvatica,90.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,175,L0_175_Pin,1,Pinus,taeda,266.0,0.0,False,True,,
October_2024,2024-10-02,BRNV,L,L0,176,L0_176_Jun,1,Juniperus,virginiana,135.0,4.0,True,True,,
October_2024,2024-10-02,BRNV,L,L0,177,L0_177_Pin,1,Pinus,taeda,,,,,,
