key,survey_id,tree_code,trunk_number,column,old,new
May_2024::L0_150_Pin::1,May_2024,L0_150_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_151_Jun::1,May_2024,L0_151_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_152_Pin::1,May_2024,L0_152_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_153_Pin::1,May_2024,L0_153_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_154_Nys::1,May_2024,L0_154_Nys,1,site,['BRNV'],['BRNV']
May_2024::L0_155_Pin::1,May_2024,L0_155_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_156_Jun::1,May_2024,L0_156_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_157_Pin::1,May_2024,L0_157_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_158_Jun::1,May_2024,L0_158_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_159_Jun::1,May_2024,L0_159_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_160_Pin::1,May_2024,L0_160_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_161_Jun::1,May_2024,L0_161_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_162_Jun::1,May_2024,L0_162_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_163_Pin::1,May_2024,L0_163_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_164_Jun::1,May_2024,L0_164_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_165_Jun::1,May_2024,L0_165_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_166_Jun::1,May_2024,L0_166_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_167_Jun::1,May_2024,L0_167_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_168_Pin::1,May_2024,L0_168_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_169_Jun::1,May_2024,L0_169_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_170_Nys::1,May_2024,L0_170_Nys,1,site,['BRNV'],['BRNV']
May_2024::L0_171_Pin::1,May_2024,L0_171_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_172_Nys::1,May_2024,L0_172_Nys,1,site,['BRNV'],['BRNV']
May_2024::L0_173_Jun::1,May_2024,L0_173_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_174_Nys::1,May_2024,L0_174_Nys,1,site,['BRNV'],['BRNV']
May_2024::L0_175_Pin::1,May_2024,L0_175_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_176_Jun::1,May_2024,L0_176_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_177_Pin::1,May_2024,L0_177_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_178_Jun::1,May_2024,L0_178_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_179_Pin::1,May_2024,L0_179_Pin,1,site,['BRNV'],['BRNV']
May_2024::L0_180_Jun::1,May_2024,L0_180_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_181_Jun::1,May_2024,L0_181_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_182_Jun::1,May_2024,L0_182_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_183_Jun::1,May_2024,L0_183_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_184_Jun::1,May_2024,L0_184_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_185_Jun::1,May_2024,L0_185_Jun,1,site,['BRNV'],['BRNV']
May_2024::L0_186_Jun::1,May_2024,L0_186_Jun,1,site,['BRNV'],['BRNV']
